name,price,origin,year,date,mileage,energy,gearbox,color,seats,doors,length,ratedHorsePower,powerDIN,consumption,brand,model
PORSCHE 911 TYPE 996 phase 2,54120.0,France,2003.0,13/07/2003,166 419 km,Essence,,,,,,24 CV,(DIN) 320 ch,"8,9 L/100 km",PORSCHE,911 TYPE 996 phase 2
PEUGEOT 208 phase 2,13420.0,Importé,2020.0,30/08/2020,77 904 km,Essence,Manuelle,blanc metal,,,,4 CV,(DIN) 82 ch - (moteur) 60 kW,"4,7 L/100 km",PEUGEOT,208 phase 2
BMW X2 F39,31680.0,France,2020.0,01/03/2020,91 237 km,,,,,,,7 CV,(DIN) 140 ch,"5,4 L/100 km",BMW,X2 F39
BMW SERIE 5 G31 TOURING phase 2,30760.0,France,2020.0,20/05/2020,99 739 km,Diesel,Automatique,gris clair,,,,10 CV,(DIN) 190 ch - (moteur) 140 kW,"4,3 L/100 km",BMW,SERIE 5 G31 TOURING phase 2
PEUGEOT 308 II,15640.0,France,2017.0,02/12/2017,105 967 km,Essence,Manuelle,gris,,,,6 CV,(DIN) 131 ch,"3,8 L/100 km",PEUGEOT,308 II
NISSAN QASHQAI II,15410.0,France,2017.0,24/08/2017,101 135 km,Essence,Manuelle,,,,,6 CV,(DIN) 116 ch,"5,2 L/100 km",NISSAN,QASHQAI II
HYUNDAI TUCSON III phase 2,33910.0,France,2020.0,04/03/2020,86 291 km,,,,,,,7 CV,(DIN) 136 ch,"4,3 L/100 km",HYUNDAI,TUCSON III phase 2
JEEP WRANGLER,24980.0,Importé,1991.0,26/06/1991,187 500 km,Essence,Manuelle,,,,,24 CV,(DIN) 182 ch,,JEEP,WRANGLER
CITROEN BERLINGO III VAN phase 2,33290.0,France,2024.0,30/09/2024,122 km,Diesel,,,,,,5 CV,(DIN) 130 ch,"5,7 L/100 km",CITROEN,BERLINGO III VAN phase 2
DACIA DUSTER II,20820.0,France,2020.0,27/07/2020,54 421 km,Essence,Manuelle,,,,,8 CV,(DIN) 150 ch,6 L/100 km,DACIA,DUSTER II
CUPRA FORMENTOR,43440.0,France,2022.0,26/03/2022,50 151 km,Hybride essence électrique,,,,,,8 CV,(DIN) 245 ch,,CUPRA,FORMENTOR
PEUGEOT 3008 II,21840.0,France,2020.0,07/12/2020,104 954 km,Essence,Automatique,,,,,7 CV,(DIN) 131 ch,,PEUGEOT,3008 II
BMW SERIE 2 F46 GRAN TOURER phase 2,28540.0,France,2021.0,27/05/2021,72 748 km,Diesel,Automatique,,,,,6 CV,(DIN) 116 ch,"5,1 L/100 km",BMW,SERIE 2 F46 GRAN TOURER phase 2
DACIA DUSTER 2,19700.0,Importé,2023.0,04/12/2023,11 374 km,Essence,Manuelle,,,,,5 CV,(DIN) 90 ch,,DACIA,DUSTER 2
FORD FOCUS IV,18970.0,France,2020.0,02/06/2020,48 123 km,Diesel,,,,,,6 CV,(DIN) 120 ch,"4,4 L/100 km",FORD,FOCUS IV
CITROEN BERLINGO III,14930.0,France,2020.0,15/02/2020,166 901 km,Diesel,Manuelle,BLANC BANQUISE,,,,5 CV,(DIN) 131 ch,"4,4 L/100 km",CITROEN,BERLINGO III
RENAULT CAPTUR phase 2,12490.0,France,2019.0,17/04/2019,88 833 km,Diesel,Manuelle,,,,,4 CV,(DIN) 90 ch,"3,5 L/100 km",RENAULT,CAPTUR phase 2
PEUGEOT 3008 II,29630.0,France,2021.0,08/05/2021,67 007 km,Essence,Automatique,,,,,6 CV,(DIN) 131 ch,"6,7 L/100 km",PEUGEOT,3008 II
FORD FOCUS II phase 2,7380.0,France,2009.0,04/01/2010,116 070 km,Diesel,Manuelle,gris metal,5.0,5.0,,6 CV,(DIN) 109 ch - (moteur) 80 kW,"3,8 L/100 km",FORD,FOCUS II phase 2
PORSCHE 911 TYPE 992,181330.0,Importé,2020.0,01/04/2020,23 220 km,Essence,Automatique,,,,,34 CV,(DIN) 450 ch - (moteur) 331 kW,"8,9 L/100 km",PORSCHE,911 TYPE 992
MERCEDES GLS II,135580.0,France,2021.0,31/01/2022,65 490 km,Diesel,Automatique,,,,,22 CV,(DIN) 331 ch,8 L/100 km,MERCEDES,GLS II
RENAULT KADJAR phase 2,22740.0,France,2020.0,23/02/2020,31 084 km,Essence,Manuelle,,,,,8 CV,(DIN) 140 ch,"5,9 L/100 km",RENAULT,KADJAR phase 2
RENAULT TRAFIC III COMBI,30430.0,France,2016.0,21/09/2016,37 940 km,Diesel,Manuelle,,,,,7 CV,(DIN) 125 ch,"5,3 L/100 km",RENAULT,TRAFIC III COMBI
OPEL ASTRA V,14980.0,France,2017.0,02/07/2017,142 809 km,Diesel,,,,,,7 CV,(DIN) 136 ch - (moteur) 100 kW,"3,5 L/100 km",OPEL,ASTRA V
FORD MUSTANG COUPE,85560.0,Importé,1970.0,22/02/1970,59 500 km,Essence,Automatique,rouge,,2.0,,27 CV,(DIN) 300 ch,,FORD,MUSTANG COUPE
PEUGEOT 3008 II,25270.0,France,2021.0,20/09/2021,80 441 km,Diesel,,,,,,6 CV,(DIN) 131 ch,4 L/100 km,PEUGEOT,3008 II
PORSCHE 911 TYPE 991 CABRIOLET phase 2,140270.0,France,2017.0,24/09/2017,68 913 km,Essence,Automatique,gris anthracite metal,,,,30 CV,(DIN) 420 ch - (moteur) 309 kW,"8,8 L/100 km",PORSCHE,911 TYPE 991 CABRIOLET phase 2
BMW X2 F39,43580.0,France,2022.0,06/05/2022,32 147 km,Hybride essence électrique,,,,,,6 CV,(DIN) 220 ch,,BMW,X2 F39
PEUGEOT 3008 II,17980.0,France,2018.0,09/07/2018,143 195 km,Diesel,,,,,,6 CV,(DIN) 120 ch,"3,5 L/100 km",PEUGEOT,3008 II
TOYOTA YARIS IV,30330.0,France,2023.0,14/11/2023,32 487 km,Hybride essence électrique,,,,,,5 CV,(DIN) 93 ch,,TOYOTA,YARIS IV
PEUGEOT 208 II,34980.0,France,2023.0,28/11/2023,5 215 km,Essence,Automatique,rouge,,,,7 CV,(DIN) 131 ch,"5,3 L/100 km",PEUGEOT,208 II
MINI III 5P,24520.0,France,2018.0,08/10/2018,51 594 km,Essence,Automatique,noir metal,,,,7 CV,(DIN) 136 ch - (moteur) 100 kW,"4,7 L/100 km",MINI,III 5P
NISSAN QASHQAI 3,35010.0,Importé,2023.0,06/02/2023,37 751 km,Hybride essence électrique,Manuelle,noir,,,,7 CV,(DIN) 140 ch,,NISSAN,QASHQAI 3
PORSCHE CAYENNE III,68880.0,France,2019.0,11/10/2019,113 632 km,Essence,Automatique,bleu,,,,23 CV,(DIN) 340 ch,"7,9 L/100 km",PORSCHE,CAYENNE III
JAGUAR XF II SPORTBRAKE phase 2,17830.0,France,2015.0,19/01/2016,168 980 km,Diesel,,,,,,11 CV,(DIN) 200 ch,"4,5 L/100 km",JAGUAR,XF II SPORTBRAKE phase 2
RENAULT ZOE phase 2,19820.0,France,2021.0,12/10/2021,63 240 km,Electrique,Automatique,noir,,,,1 CV,(DIN) 69 ch,,RENAULT,ZOE phase 2
MINI III 3P,19150.0,France,2019.0,05/09/2019,87 098 km,Essence,Manuelle,rouge,,,,7 CV,(DIN) 136 ch,"5,4 L/100 km",MINI,III 3P
VOLVO XC40,33990.0,France,2020.0,04/09/2020,98 450 km,Diesel,Automatique,noir metal,5.0,5.0,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"5,4 L/100 km",VOLVO,XC40
RENAULT CAPTUR phase 2,19780.0,France,2019.0,02/12/2019,24 299 km,Essence,Automatique,,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"4,6 L/100 km",RENAULT,CAPTUR phase 2
VOLKSWAGEN POLO V phase 2,10420.0,France,2017.0,06/08/2017,215 519 km,,,,,,,5 CV,(DIN) 90 ch - (moteur) 66 kW,4 L/100 km,VOLKSWAGEN,POLO V phase 2
RENAULT EXPRESS II VAN,24100.0,Importé,2023.0,28/10/2023,12 km,Diesel,Manuelle,,,,,5 CV,(DIN) 75 ch - (moteur) 55 kW,"5,1 L/100 km",RENAULT,EXPRESS II VAN
PEUGEOT 208 II,31650.0,France,2024.0,19/03/2024,1 160 km,Essence,Automatique,,,,,7 CV,(DIN) 130 ch,"5,3 L/100 km",PEUGEOT,208 II
AUDI RS6 IV AVANT,143940.0,France,2021.0,19/12/2021,37 014 km,Essence,Automatique,gris,,,,52 CV,(DIN) 600 ch,"11,5 L/100 km",AUDI,RS6 IV AVANT
PORSCHE 911 TYPE 992,223600.0,Importé,2021.0,12/04/2021,9 401 km,Essence,Automatique,noir verni,,,,34 CV,(DIN) 450 ch - (moteur) 331 kW,"10,4 L/100 km",PORSCHE,911 TYPE 992
CITROEN C5 AIRCROSS,28840.0,France,2021.0,29/06/2021,19 886 km,Diesel,Automatique,,,,,6 CV,(DIN) 131 ch,"4,1 L/100 km",CITROEN,C5 AIRCROSS
CITROEN C3 (3E GENERATION),23760.0,Importé,2023.0,11/12/2023,12 852 km,Essence,Automatique,,,,,6 CV,(DIN) 110 ch - (moteur) 81 kW,,CITROEN,C3 (3E GENERATION)
VOLVO XC60 II phase 2,60610.0,France,2022.0,26/01/2023,57 333 km,Hybride essence électrique,,,,,,15 CV,(DIN) 253 ch -,,VOLVO,XC60 II phase 2
PEUGEOT 3008 (2E GENERATION),34940.0,Importé,2023.0,27/11/2023,15 024 km,Essence,Automatique,bleu,,,,7 CV,(DIN) 130 ch - (moteur) 96 kW,,PEUGEOT,3008 (2E GENERATION)
PEUGEOT 208 II,21940.0,France,2022.0,19/09/2022,60 468 km,Diesel,Manuelle,,,,,5 CV,(DIN) 102 ch - (moteur) 75 kW,"4,2 L/100 km",PEUGEOT,208 II
BMW Z4 E86 COUPE,31480.0,France,2007.0,12/04/2007,169 051 km,Essence,,,,,,17 CV,(DIN) 265 ch,"6,8 L/100 km",BMW,Z4 E86 COUPE
AUDI A3 II SPORTBACK phase 2,13420.0,France,2011.0,16/07/2011,132 720 km,Essence,,,,,,7 CV,(DIN) 125 ch,"4,8 L/100 km",AUDI,A3 II SPORTBACK phase 2
FORD TRANSIT CUSTOM II phase 2,65880.0,France,2024.0,10/12/2024,1 km,Diesel,Automatique,gris,,,,7 CV,(DIN) 170 ch,,FORD,TRANSIT CUSTOM II phase 2
MERCEDES CLASSE G 2,42030.0,France,1996.0,08/06/1996,173 228 km,Diesel,Automatique,rouge,5.0,3.0,,14 CV,(DIN) 136 ch,,MERCEDES,CLASSE G 2
RENAULT MEGANE IV,20610.0,France,2021.0,02/02/2021,81 750 km,Diesel,Manuelle,,,,,6 CV,(DIN) 116 ch,"4,5 L/100 km",RENAULT,MEGANE IV
JEEP CHEROKEE IV phase 2,38920.0,France,2019.0,06/08/2019,74 614 km,Diesel,Automatique,blanc,,,,11 CV,(DIN) 195 ch,"4,9 L/100 km",JEEP,CHEROKEE IV phase 2
MERCEDES-AMG GT,121870.0,France,2016.0,29/11/2016,35 990 km,Essence,Automatique,,,,,41 CV,(DIN) 510 ch,,MERCEDES-AMG,GT
CITROEN C3 III phase 2,17900.0,France,2022.0,23/06/2022,34 570 km,Essence,Manuelle,blanc,,,,4 CV,(DIN) 83 ch,"5,6 L/100 km",CITROEN,C3 III phase 2
OPEL CORSA VI,18440.0,France,2022.0,11/11/2022,68 782 km,Essence,Manuelle,bleu,,,,5 CV,(DIN) 100 ch,"5,5 L/100 km",OPEL,CORSA VI
RENAULT CLIO 5,23670.0,Importé,2024.0,07/03/2024,11 km,Essence,Manuelle,rouge,,,,5 CV,(DIN) 90 ch,,RENAULT,CLIO 5
JEEP RENEGADE,35380.0,Importé,2024.0,08/11/2024,12 km,Essence,Manuelle,noir,,,,6 CV,(DIN) 120 ch - (moteur) 88 kW,,JEEP,RENEGADE
DACIA DUSTER II phase 2,30670.0,France,2024.0,20/12/2024,11 km,Diesel,Manuelle,blanc,,,,6 CV,(DIN) 115 ch,"5,3 L/100 km",DACIA,DUSTER II phase 2
CITROEN C5 X,46180.0,France,2023.0,15/03/2023,23 332 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
NISSAN NV400,20700.0,France,2018.0,29/09/2018,89 157 km,Diesel,Manuelle,,,,,8 CV,(DIN) 110 ch,"7,7 L/100 km",NISSAN,NV400
PEUGEOT 308 III,39940.0,France,2023.0,31/12/2023,11 km,Diesel,Automatique,,,,,7 CV,(DIN) 130 ch,"4,5 L/100 km",PEUGEOT,308 III
RENAULT MEGANE IV ESTATE,18680.0,France,2021.0,06/03/2021,35 748 km,Diesel,Manuelle,,,,,6 CV,(DIN) 116 ch,"3,9 L/100 km",RENAULT,MEGANE IV ESTATE
VOLKSWAGEN GOLF VI CABRIOLET,19520.0,France,2016.0,28/02/2016,74 477 km,Diesel,,,,,,6 CV,(DIN) 105 ch,"4,3 L/100 km",VOLKSWAGEN,GOLF VI CABRIOLET
PORSCHE BOXSTER III TYPE 981,70060.0,France,2017.0,29/01/2018,30 284 km,Essence,Automatique,noir metal,2.0,2.0,"4,37 m",17 CV,(DIN) 265 ch - (moteur) 195 kW,"8,4 L/100 km",PORSCHE,BOXSTER III TYPE 981
RENAULT CLIO 5,25960.0,Importé,2024.0,23/08/2024,13 km,Essence,Manuelle,rouge,,5.0,,5 CV,(DIN) 90 ch,,RENAULT,CLIO 5
MERCEDES CLASSE B III,33340.0,France,2020.0,29/05/2020,41 389 km,Essence,Automatique,gris,,,,9 CV,(DIN) 163 ch,"5,4 L/100 km",MERCEDES,CLASSE B III
PEUGEOT 5008 II,32850.0,France,2020.0,28/07/2020,70 707 km,Essence,Automatique,BLEU BOURRASQUE,,,,10 CV,(DIN) 181 ch,"5,6 L/100 km",PEUGEOT,5008 II
FERRARI 488 SPIDER,332280.0,Importé,2018.0,23/02/2018,20 160 km,Essence,Automatique,rouge verni,,,,61 CV,(DIN) 670 ch - (moteur) 492 kW,,FERRARI,488 SPIDER
AUDI Q3 II SPORTBACK,54100.0,France,2023.0,05/02/2023,23 801 km,Essence,Automatique,Noir,,,,8 CV,(DIN) 150 ch,"6,6 L/100 km",AUDI,Q3 II SPORTBACK
MERCEDES GLC phase 2,49330.0,France,2020.0,07/09/2020,121 900 km,Diesel,Automatique,,,,,14 CV,(DIN) 245 ch - (moteur) 180 kW,"7,3 L/100 km",MERCEDES,GLC phase 2
PEUGEOT 3008 phase 2,11770.0,France,2016.0,22/05/2016,167 508 km,Diesel,,,,,,6 CV,(DIN) 114 ch,"4,2 L/100 km",PEUGEOT,3008 phase 2
SEAT TARRACO,33300.0,France,2020.0,30/06/2020,92 457 km,Diesel,Automatique,blanc,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"5,6 L/100 km",SEAT,TARRACO
AUDI A6 V AVANT,64200.0,France,2019.0,22/11/2019,51 373 km,Diesel,Automatique,,,,,17 CV,(DIN) 286 ch,"5,8 L/100 km",AUDI,A6 V AVANT
MERCEDES VITO III phase 2,66500.0,France,2022.0,28/10/2022,32 118 km,Diesel,,,,,,10 CV,(moteur) 140 kW,"7,2 L/100 km",MERCEDES,VITO III phase 2
HYUNDAI IONIQ phase 2,31180.0,France,2021.0,09/07/2021,39 088 km,Hybride essence électrique,,,,,,3 CV,,,HYUNDAI,IONIQ phase 2
CUPRA FORMENTOR,43440.0,France,2022.0,26/03/2022,50 151 km,Hybride essence électrique,,,,,,8 CV,(DIN) 245 ch,,CUPRA,FORMENTOR
DS 3 phase 2,18700.0,France,2019.0,18/12/2019,87 469 km,Essence,Manuelle,,,,,5 CV,(DIN) 110 ch,"3,8 L/100 km",DS,3 phase 2
VOLVO XC40,30910.0,France,2021.0,14/03/2021,21 156 km,Essence,Manuelle,,,,,7 CV,(DIN) 129 ch,7 L/100 km,VOLVO,XC40
TOYOTA RAV 4 V,40580.0,France,2024.0,04/05/2024,34 136 km,Hybride essence électrique,Automatique,gris foncé,,,,9 CV,(DIN) 178 ch,,TOYOTA,RAV 4 V
CITROEN C3 AIRCROSS,17380.0,France,2021.0,28/01/2022,68 351 km,Diesel,Manuelle,,,,,5 CV,(DIN) 102 ch,"4,7 L/100 km",CITROEN,C3 AIRCROSS
AUDI E-TRON SPORTBACK,62890.0,France,2022.0,15/11/2022,27 512 km,Electrique,Automatique,gris,,,,12 CV,,,AUDI,E-TRON SPORTBACK
MERCEDES GLC phase 2,64940.0,France,2021.0,26/06/2021,35 280 km,Hybride diesel électrique,Automatique,blanc,,,,11 CV,(DIN) 195 ch,,MERCEDES,GLC phase 2
AUDI Q2 phase 2,28650.0,France,2023.0,29/09/2023,18 560 km,Essence,Manuelle,,,,,6 CV,(DIN) 110 ch,"5,8 L/100 km",AUDI,Q2 phase 2
PORSCHE MACAN,89990.0,Importé,2019.0,02/12/2019,30 210 km,Essence,Automatique,,,,,33 CV,(DIN) 441 ch - (moteur) 324 kW,8 L/100 km,PORSCHE,MACAN
SEAT ATECA,18340.0,France,2019.0,12/08/2019,98 183 km,Essence,Manuelle,bleu,,,,6 CV,(DIN) 115 ch,"5,3 L/100 km",SEAT,ATECA
MERCEDES CLA,23870.0,France,2015.0,19/03/2015,158 050 km,,,,,,,9 CV,(DIN) 170 ch - (moteur) 130 kW,"3,7 L/100 km",MERCEDES,CLA
AUDI Q3,21440.0,Importé,2013.0,11/03/2013,114 041 km,Diesel,Manuelle,gris foncé,,,,8 CV,(DIN) 140 ch,,AUDI,Q3
NISSAN QASHQAI II phase 2,25060.0,France,2020.0,26/09/2020,75 602 km,Diesel,Automatique,noir,,,,6 CV,(DIN) 116 ch,,NISSAN,QASHQAI II phase 2
PEUGEOT 407 COUPE,13760.0,France,2008.0,01/10/2008,73 715 km,Diesel,Automatique,bleu metal,4.0,2.0,,13 CV,(DIN) 204 ch - (moteur) 150 kW,"6,5 L/100 km",PEUGEOT,407 COUPE
MERCEDES GLS AMG,80480.0,France,2018.0,16/10/2018,130 985 km,Essence,,,,,,51 CV,(DIN) 585 ch - (moteur) 430 kW,"10,3 L/100 km",MERCEDES,GLS AMG
RENAULT CAPTUR II,26520.0,France,2023.0,19/09/2023,7 418 km,Essence,Automatique,noir,,,,7 CV,(DIN) 140 ch,"5,9 L/100 km",RENAULT,CAPTUR II
JEEP RENEGADE,20480.0,France,2019.0,17/08/2019,54 466 km,Diesel,,,,,,6 CV,(DIN) 120 ch,4 L/100 km,JEEP,RENEGADE
BMW X2 F39,43580.0,France,2022.0,06/05/2022,32 147 km,Hybride essence électrique,,,,,,6 CV,(DIN) 220 ch,,BMW,X2 F39
SUBARU LEVORG phase 2,34390.0,France,2022.0,19/01/2023,32 059 km,Essence,Automatique,,,,,9 CV,(DIN) 150 ch,,SUBARU,LEVORG phase 2
VOLKSWAGEN TIGUAN II,41520.0,France,2020.0,28/11/2020,56 719 km,Essence,Automatique,,,,,8 CV,(DIN) 150 ch,7 L/100 km,VOLKSWAGEN,TIGUAN II
CITROEN C3 III phase 2,19530.0,France,2022.0,04/01/2023,51 458 km,Essence,Manuelle,blanc,,,,4 CV,(DIN) 83 ch,"5,7 L/100 km",CITROEN,C3 III phase 2
MERCEDES GLC,33580.0,France,2018.0,19/10/2018,184 016 km,Diesel,,,,,,16 CV,(DIN) 259 ch,"5,3 L/100 km",MERCEDES,GLC
VOLVO V90 II,26100.0,Importé,2019.0,18/02/2019,118 927 km,Diesel,Manuelle,marron metal,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"4,8 L/100 km",VOLVO,V90 II
OPEL ASTRA V,12900.0,France,2020.0,25/06/2020,119 925 km,Essence,,,,,,5 CV,(DIN) 105 ch,"4,7 L/100 km",OPEL,ASTRA V
RENAULT CAPTUR II,23160.0,France,2022.0,11/03/2022,70 221 km,Bicarburation essence GPL,,,,,,5 CV,(DIN) 101 ch,"7,7 L/100 km",RENAULT,CAPTUR II
PEUGEOT 208,16320.0,Importé,2016.0,26/06/2016,80 823 km,Essence,Automatique,rouge,,5.0,,6 CV,(DIN) 110 ch,,PEUGEOT,208
CHEVROLET CAMARO 3,36880.0,Importé,1983.0,24/07/1983,45 797 km,Essence,Automatique,gris,,2.0,,29 CV,(DIN) 190 ch,,CHEVROLET,CAMARO 3
DS 7 CROSSBACK,57020.0,France,2022.0,17/06/2022,16 050 km,Hybride essence électrique,Automatique,clair nacre,,,,11 CV,(DIN) 200 ch -,,DS,7 CROSSBACK
AUDI Q3,29250.0,Importé,2018.0,21/08/2018,108 768 km,Diesel,Automatique,Gris,,,,8 CV,(DIN) 150 ch,"4,4 L/100 km",AUDI,Q3
PORSCHE MACAN phase 2,73650.0,France,2020.0,01/02/2020,53 868 km,Essence,Automatique,noir,,,,15 CV,(DIN) 245 ch,10 L/100 km,PORSCHE,MACAN phase 2
AUDI A5 SPORTBACK II,33920.0,France,2018.0,20/04/2018,120 175 km,Essence,Automatique,gris metal,,,,15 CV,(DIN) 252 ch - (moteur) 185 kW,"5,6 L/100 km",AUDI,A5 SPORTBACK II
RENAULT CLIO 5,19800.0,Importé,2022.0,19/04/2022,27 874 km,Essence,Manuelle,rouge,,,,5 CV,(DIN) 90 ch,,RENAULT,CLIO 5
MAZDA CX-5 II phase 2,32380.0,France,2020.0,25/07/2020,83 485 km,Diesel,Automatique,,,,,10 CV,(DIN) 184 ch,"5,5 L/100 km",MAZDA,CX-5 II phase 2
PEUGEOT 308 (3E GENERATION),29410.0,Importé,2023.0,23/12/2023,19 430 km,Essence,Manuelle,vert,,,,7 CV,(DIN) 130 ch,,PEUGEOT,308 (3E GENERATION)
CITROEN C5 AIRCROSS,28840.0,France,2021.0,29/06/2021,19 886 km,Diesel,,,,,,6 CV,(DIN) 131 ch,"4,1 L/100 km",CITROEN,C5 AIRCROSS
AUDI Q2,27960.0,France,2020.0,12/02/2020,47 784 km,Diesel,,,,,,6 CV,(DIN) 116 ch,"4,5 L/100 km",AUDI,Q2
RENAULT CAPTUR 2,26570.0,Importé,2024.0,31/05/2024,12 km,Essence,Manuelle,blanc,,,,5 CV,(DIN) 90 ch - (moteur) 67 kW,,RENAULT,CAPTUR 2
PORSCHE 911 TYPE 992,175320.0,Importé,2021.0,05/07/2021,31 339 km,Essence,Automatique,bleu metal,,,,27 CV,(DIN) 385 ch - (moteur) 283 kW,"10,3 L/100 km",PORSCHE,911 TYPE 992
CITROEN C4 AIRCROSS,15240.0,France,2018.0,09/10/2018,124 306 km,Diesel,Manuelle,gris clair,,,,6 CV,(DIN) 114 ch,"4,2 L/100 km",CITROEN,C4 AIRCROSS
FORD GRAND C-MAX II phase 2,23620.0,France,2020.0,28/02/2020,61 754 km,Essence,Manuelle,,,,,7 CV,(DIN) 125 ch,"5,9 L/100 km",FORD,GRAND C-MAX II phase 2
MINI COUNTRYMAN II phase 2,51180.0,France,2023.0,24/09/2023,24 852 km,Hybride essence électrique,Automatique,,,,,6 CV,,,MINI,COUNTRYMAN II phase 2
MERCEDES CLA II SHOOTING BRAKE,40580.0,France,2022.0,30/12/2022,72 384 km,Diesel,Automatique,blanc,,,,10 CV,(DIN) 190 ch,"5,1 L/100 km",MERCEDES,CLA II SHOOTING BRAKE
AUDI RS3 II SPORTBACK phase 2,72590.0,Importé,2020.0,02/03/2020,44 523 km,Essence,Automatique,,,,,25 CV,(DIN) 367 ch - (moteur) 294 kW,"6,3 L/100 km",AUDI,RS3 II SPORTBACK phase 2
MERCEDES CLASSE S VII phase 2,146200.0,France,2023.0,26/10/2023,48 380 km,Hybride essence électrique,Automatique,,,,,25 CV,(DIN) 367 ch - (moteur) 270 kW,,MERCEDES,CLASSE S VII phase 2
AUDI Q2,34180.0,France,2019.0,07/11/2019,75 282 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"4,5 L/100 km",AUDI,Q2
RENAULT ZOE,9210.0,France,2017.0,25/06/2017,84 171 km,Electrique,Automatique,,,,,1 CV,(DIN) 59 ch,,RENAULT,ZOE
BMW Z4 G29,60300.0,France,2020.0,03/04/2020,41 496 km,Essence,Automatique,,,,,23 CV,(DIN) 340 ch,"7,4 L/100 km",BMW,Z4 G29
PEUGEOT 208 phase 2,15100.0,France,2016.0,15/05/2016,39 918 km,Essence,Manuelle,,,,,5 CV,(DIN) 110 ch,"3,8 L/100 km",PEUGEOT,208 phase 2
AUDI Q5 II,50380.0,France,2019.0,24/09/2019,41 710 km,Essence,Automatique,,,,,15 CV,(DIN) 252 ch,"6,3 L/100 km",AUDI,Q5 II
INFINITI QX70,26760.0,France,2016.0,24/01/2017,112 000 km,,,,,,,16 CV,(DIN) 238 ch - (moteur) 175 kW,"7,3 L/100 km",INFINITI,QX70
AUDI A4 V AVANT phase 3,58900.0,France,2023.0,21/12/2023,22 575 km,Diesel,Automatique,gris,,,,11 CV,(DIN) 204 ch,"5,2 L/100 km",AUDI,A4 V AVANT phase 3
CITROEN C5 X,46180.0,France,2023.0,15/03/2023,23 332 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
AUDI Q3 II,51680.0,Importé,2023.0,20/04/2023,55 km,Diesel,Automatique,argent metal,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"5,4 L/100 km",AUDI,Q3 II
PORSCHE 911 TYPE 991 phase 2,163680.0,France,2017.0,30/08/2017,45 513 km,Essence,Automatique,jaune verni,,,,30 CV,(DIN) 420 ch - (moteur) 309 kW,"8,9 L/100 km",PORSCHE,911 TYPE 991 phase 2
AUDI Q2,37960.0,France,2020.0,14/03/2020,75 074 km,Essence,Automatique,,,,,11 CV,(DIN) 190 ch,"6,6 L/100 km",AUDI,Q2
PORSCHE MACAN phase 2,75040.0,Importé,2020.0,03/02/2020,67 200 km,Essence,Automatique,,,,,15 CV,(DIN) 245 ch - (moteur) 180 kW,"8,1 L/100 km",PORSCHE,MACAN phase 2
SKODA SUPERB III COMBI phase 2,42100.0,France,2021.0,14/10/2021,49 491 km,Hybride essence électrique,Automatique,,,,,8 CV,(DIN) 156 ch,,SKODA,SUPERB III COMBI phase 2
FORD FOCUS III phase 2,16200.0,France,2018.0,02/07/2018,97 058 km,Essence,,,,,,7 CV,(DIN) 125 ch,"4,4 L/100 km",FORD,FOCUS III phase 2
MERCEDES CLASSE A IV,38830.0,France,2020.0,03/02/2020,99 845 km,Essence,Automatique,gris,,,,13 CV,(DIN) 224 ch,"6,6 L/100 km",MERCEDES,CLASSE A IV
PEUGEOT 2008 phase 2,17960.0,France,2018.0,21/06/2018,141 396 km,Essence,Automatique,,,,,6 CV,(DIN) 110 ch,"4,1 L/100 km",PEUGEOT,2008 phase 2
BMW X1 F48 phase 2,38260.0,France,2021.0,12/01/2022,46 632 km,Hybride essence électrique,Automatique,,,,,6 CV,(DIN) 220 ch,,BMW,X1 F48 phase 2
DS 3 CROSSBACK,33620.0,France,2023.0,13/12/2023,19 698 km,Essence,,,,,,7 CV,(DIN) 131 ch,6 L/100 km,DS,3 CROSSBACK
AUDI A1 II SPORTBACK,36090.0,France,2023.0,21/08/2023,14 348 km,Essence,Automatique,Gris,,,,6 CV,(DIN) 110 ch,"5,8 L/100 km",AUDI,A1 II SPORTBACK
PORSCHE MACAN phase 2,114720.0,Importé,2021.0,20/05/2021,37 700 km,Essence,Automatique,noir metal,,,,24 CV,(DIN) 354 ch - (moteur) 260 kW,"10,7 L/100 km",PORSCHE,MACAN phase 2
AUDI A4 V AVANT,33910.0,France,2020.0,16/01/2021,73 542 km,Essence,Automatique,noir,,,,10 CV,(DIN) 190 ch,"5,9 L/100 km",AUDI,A4 V AVANT
VOLKSWAGEN GOLF 8,29910.0,Importé,2020.0,27/05/2020,79 068 km,Diesel,Automatique,gris foncé,,,,10 CV,(DIN) 184 ch - (moteur) 135 kW,,VOLKSWAGEN,GOLF 8
PEUGEOT 308 II,16970.0,France,2016.0,05/09/2016,64 645 km,Essence,Automatique,,,,,7 CV,(DIN) 131 ch,"4,1 L/100 km",PEUGEOT,308 II
